2026-06-18 06:16:42 | INFO    | cloud_server       | [DRONE-TEST-001] Frame 143: 5 detections [moderate=3, mild=1, severe=1] @ (39.90421, 116.40741) inf=31.9ms
2026-06-18 06:16:42 | INFO    | cloud_server       | [DRONE-TEST-001] Frame 145: 5 detections [moderate=2, mild=2, severe=1] @ (39.90421, 116.40741) inf=30.5ms
2026-06-18 06:16:43 | INFO    | cloud_server       | [DRONE-TEST-001] Frame 149: 1 detections [moderate=1] @ (39.90421, 116.40741) inf=31.5ms
2026-06-18 06:16:43 | INFO    | cloud_server       | [DRONE-TEST-001] Frame 151: 1 detections [mild=1] @ (39.90421, 116.40741) inf=30.3ms
2026-06-18 06:16:43 | INFO    | cloud_server       | [DRONE-TEST-001] Frame 153: 2 detections [moderate=1, severe=1] @ (39.90421, 116.40741) inf=32.1ms
2026-06-18 06:16:44 | INFO    | cloud_server       | [DRONE-TEST-001] Frame 157: 1 detections [moderate=1] @ (39.90421, 116.40741) inf=31.5ms
2026-06-18 06:16:44 | INFO    | cloud_server       | [DRONE-TEST-001] Frame 161: 3 detections [moderate=3] @ (39.90421, 116.40741) inf=36.0ms
2026-06-18 06:16:44 | INFO    | cloud_server       | [DRONE-TEST-001] Frame 163: 3 detections [severe=1, moderate=2] @ (39.90421, 116.40741) inf=31.9ms
2026-06-18 06:16:44 | INFO    | cloud_server       | [DRONE-TEST-001] Frame 165: 1 detections [moderate=1] @ (39.90421, 116.40741) inf=31.3ms
2026-06-18 06:16:45 | INFO    | cloud_server       | [DRONE-TEST-001] Frame 167: 1 detections [moderate=1] @ (39.90421, 116.40741) inf=30.2ms
2026-06-18 06:16:45 | INFO    | cloud_server       | [DRONE-TEST-001] Frame 169: 1 detections [severe=1] @ (39.90421, 116.40741) inf=32.2ms
2026-06-18 06:16:45 | INFO    | cloud_server       | [DRONE-TEST-001] Frame 173: 3 detections [moderate=2, mild=1] @ (39.90421, 116.40741) inf=32.6ms
2026-06-18 06:16:45 | INFO    | cloud_server       | [DRONE-TEST-001] Frame 175: 2 detections [mild=1, severe=1] @ (39.90421, 116.40741) inf=33.8ms
2026-06-18 06:16:46 | INFO    | cloud_server       | [DRONE-TEST-001] Frame 177: 4 detections [severe=1, mild=3] @ (39.90421, 116.40741) inf=31.7ms
2026-06-18 06:16:46 | INFO    | cloud_server       | [DRONE-TEST-001] Frame 179: 3 detections [mild=3] @ (39.90421, 116.40741) inf=30.5ms
2026-06-18 06:16:46 | INFO    | cloud_server       | [DRONE-TEST-001] Frame 181: 3 detections [moderate=2, mild=1] @ (39.90421, 116.40741) inf=31.0ms
2026-06-18 06:16:46 | INFO    | cloud_server       | [DRONE-TEST-001] Frame 183: 1 detections [mild=1] @ (39.90421, 116.40741) inf=30.7ms
2026-06-18 06:16:46 | INFO    | cloud_server       | [DRONE-TEST-001] Frame 185: 3 detections [mild=1, severe=1, moderate=1] @ (39.90421, 116.40741) inf=31.5ms
2026-06-18 06:16:47 | INFO    | cloud_server       | [DRONE-TEST-001] Frame 187: 1 detections [moderate=1] @ (39.90421, 116.40741) inf=31.7ms
2026-06-18 06:16:47 | INFO    | cloud_server       | [DRONE-TEST-001] Frame 189: 2 detections [moderate=1, mild=1] @ (39.90421, 116.40741) inf=31.4ms
2026-06-18 06:16:47 | INFO    | cloud_server       | [DRONE-TEST-001] Frame 193: 3 detections [severe=2, moderate=1] @ (39.90421, 116.40741) inf=32.3ms
2026-06-18 06:16:47 | INFO    | cloud_server       | [DRONE-TEST-001] Frame 195: 4 detections [moderate=2, severe=1, mild=1] @ (39.90421, 116.40741) inf=35.0ms
2026-06-18 06:16:48 | INFO    | cloud_server       | [DRONE-TEST-001] Frame 197: 1 detections [mild=1] @ (39.90421, 116.40741) inf=35.8ms
2026-06-18 06:16:48 | INFO    | cloud_server       | [DRONE-TEST-001] Frame 199: 1 detections [moderate=1] @ (39.90421, 116.40741) inf=34.5ms
2026-06-18 06:16:48 | INFO    | cloud_server       | [DRONE-TEST-001] Frame 201: 2 detections [mild=1, moderate=1] @ (39.90421, 116.40741) inf=31.5ms
2026-06-18 06:16:48 | INFO    | cloud_server       | [DRONE-TEST-001] Frame 205: 2 detections [mild=2] @ (39.90421, 116.40741) inf=33.1ms
2026-06-18 06:16:49 | INFO    | cloud_server       | [DRONE-TEST-001] Frame 209: 1 detections [mild=1] @ (39.90421, 116.40741) inf=32.6ms
2026-06-18 06:16:49 | INFO    | cloud_server       | [DRONE-TEST-001] Frame 211: 5 detections [moderate=3, severe=1, mild=1] @ (39.90421, 116.40741) inf=34.3ms
2026-06-18 06:16:49 | INFO    | cloud_server       | [DRONE-TEST-001] Frame 215: 4 detections [mild=1, severe=1, moderate=2] @ (39.90421, 116.40741) inf=32.7ms
2026-06-18 06:16:50 | INFO    | cloud_server       | [DRONE-TEST-001] Frame 217: 1 detections [severe=1] @ (39.90421, 116.40741) inf=37.9ms
2026-06-18 06:16:50 | INFO    | cloud_server       | [DRONE-TEST-001] Frame 219: 1 detections [mild=1] @ (39.90421, 116.40741) inf=32.0ms
2026-06-18 06:16:50 | INFO    | cloud_server       | [DRONE-TEST-001] Frame 221: 2 detections [mild=1, severe=1] @ (39.90421, 116.40741) inf=31.0ms
2026-06-18 06:16:50 | INFO    | cloud_server       | [DRONE-TEST-001] Frame 223: 3 detections [moderate=2, mild=1] @ (39.90421, 116.40741) inf=31.5ms
2026-06-18 06:16:50 | INFO    | cloud_server       | [DRONE-TEST-001] Frame 225: 3 detections [moderate=1, severe=2] @ (39.90421, 116.40741) inf=31.6ms
2026-06-18 06:16:51 | INFO    | cloud_server       | [DRONE-TEST-001] Frame 227: 4 detections [mild=3, moderate=1] @ (39.90421, 116.40741) inf=32.7ms
2026-06-18 06:16:51 | INFO    | cloud_server       | [DRONE-TEST-001] Frame 233: 1 detections [severe=1] @ (39.90421, 116.40741) inf=31.3ms
2026-06-18 06:16:51 | INFO    | cloud_server       | [DRONE-TEST-001] Frame 235: 4 detections [severe=2, mild=1, moderate=1] @ (39.90421, 116.40741) inf=31.1ms
